customer_id,gender,customer_type,age,travel_type,travel_class,flight_distance,campaign_name,flight_date,join_date,satisfaction,departure_delay,arrival_delay,Seat_comfort,Departure_convenience,Food_and_drink,Gate_location,Inflight_wifi,Inflight_entertainment,Online_support,Ease_of_booking,Onboard_service,Leg_room,Baggage_handling,Checkin_service,Cleanliness,Online_boarding
46685257-bdd6-40fb-8667-1ad11c80317f,Female,New Customer,69,Personal Travel,Eco,1060,Spring Saver,2025-03-03,2024-11-20,neutral,201,223,2,4,4,1,2,2,2,4,3,2,5,4,1,3
1a3d1fa7-bc89-40a9-a3b8-c1e9392456de,Male,Loyal Customer,39,Personal Travel,Eco,6596,Double Miles,2024-11-28,2024-01-19,neutral,140,136,3,0,0,2,2,1,3,3,5,5,5,2,3,3
16419f82-8b9d-4434-a465-e150bd9c66b3,Male,New Customer,26,Business Travel,Eco,5593,Referral Boost,2025-01-09,2024-12-19,neutral,0,3,3,0,3,5,1,1,0,1,4,1,3,3,3,3
17fc695a-07a0-4a6e-8822-e8f36c031199,Female,Loyal Customer,53,Business Travel,Eco,1785,Spring Saver,2025-01-02,2024-10-13,dissatisfied,279,283,3,1,5,5,5,1,3,5,4,1,1,3,1,1
06cb0fb3-9a1d-4644-815e-f6d13b8faa18,Male,Loyal Customer,77,Personal Travel,Business,1216,Premium Perks,2024-07-31,2023-12-29,neutral,0,-2,5,4,4,1,4,1,0,3,3,3,4,0,4,4
b38a088c-a65e-4389-b74d-0fb132e70629,Female,New Customer,18,Personal Travel,Business,2227,Spring Saver,2025-08-30,2024-09-20,neutral,0,12,2,2,0,2,2,0,2,4,1,1,0,3,0,3
96da1dac-72ff-4d2a-b86e-cbe06b65a6a4,Male,Loyal Customer,41,Personal Travel,Eco,9196,Premium Perks,2024-11-09,2024-09-08,neutral,0,4,2,3,5,2,2,0,2,4,5,2,0,4,1,5
c241330b-01a9-471f-9e8a-774bcf36d58b,Female,New Customer,59,Personal Travel,Business,7235,Double Miles,2025-01-25,2024-02-14,neutral,0,-9,4,2,0,3,4,3,5,4,4,2,4,3,4,2
571aa876-6c30-4511-b2b9-437a28df6ec4,Male,New Customer,62,Personal Travel,Business,9989,Double Miles,2025-09-15,2025-03-29,neutral,240,230,0,4,5,3,3,3,3,3,5,5,2,1,3,0
c37459ee-f50b-4a63-b71e-cd7b27cd8130,Female,New Customer,79,Business Travel,Business,6976,Referral Boost,2024-11-22,2024-02-13,neutral,0,1,3,4,0,2,5,2,0,5,4,0,2,1,3,2
18c26797-6142-4a7d-97be-31111a2a73ed,Female,New Customer,19,Personal Travel,Business,7754,Spring Saver,2025-01-19,2024-03-30,satisfied,0,15,0,4,0,0,2,0,1,1,3,5,4,0,0,2
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,Male,Loyal Customer,23,Personal Travel,Business,5735,Spring Saver,2024-09-23,2024-04-16,neutral,0,18,3,2,2,0,5,4,3,1,5,5,2,0,0,3
89463e85-759c-4e66-bacf-b3d00b1f9163,Female,Loyal Customer,37,Personal Travel,Business,3011,Double Miles,2025-12-14,2025-03-30,neutral,0,24,2,3,2,1,2,2,3,3,0,0,1,0,2,3
142c3fe8-60e7-4113-ac1b-8ca1f91e1d4c,Female,Loyal Customer,77,Business Travel,Business,6487,Referral Boost,2024-07-06,2023-10-17,dissatisfied,108,113,1,0,3,3,0,1,0,5,3,4,4,2,0,0
9e574f7a-a0ee-49ae-9453-dd324b0dbb41,Male,Loyal Customer,37,Personal Travel,Eco,6495,Double Miles,2025-01-22,2024-09-13,neutral,0,5,5,0,3,2,0,3,5,3,5,2,5,0,2,0
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,Male,New Customer,53,Personal Travel,Business,8552,Referral Boost,2025-11-15,2025-05-30,satisfied,167,164,3,0,5,4,3,2,0,0,3,2,2,5,5,5
3a578a8e-a948-4d99-8bbb-259911ce5dd2,Male,Loyal Customer,44,Personal Travel,Business,425,Festive Bonanza,2025-10-20,2025-01-10,satisfied,0,-5,4,5,0,3,0,4,3,4,2,3,2,0,0,3
daf61a26-146d-4f31-bc37-7a4c4a15544d,Female,Loyal Customer,77,Personal Travel,Business,1260,Premium Perks,2025-06-11,2025-03-04,neutral,232,224,4,0,5,4,2,3,0,3,4,4,0,2,1,0
47294739-614f-43d7-99db-3ad0ddd1dfb2,Female,Loyal Customer,63,Business Travel,Business,4063,Double Miles,2025-01-03,2024-01-09,dissatisfied,0,14,1,5,1,2,1,1,1,0,0,0,2,5,4,1
29a3b2e9-5d65-4441-9588-42dea2bc372f,Female,Loyal Customer,77,Business Travel,Business,5825,Double Miles,2024-07-12,2024-06-29,dissatisfied,0,11,0,3,4,3,0,5,5,3,2,3,1,1,5,2
4458a885-ab90-49a4-b5a2-40ae5af30553,Female,New Customer,75,Personal Travel,Business,7709,Premium Perks,2025-03-05,2024-04-25,neutral,0,21,0,3,1,5,5,2,3,4,0,4,3,3,3,4
12476f57-a5e5-45ab-aefc-fad8efc89849,Female,New Customer,64,Business Travel,Eco,7166,Premium Perks,2025-12-24,2025-01-08,satisfied,0,-2,3,4,1,3,1,5,2,0,2,3,1,1,4,1
baa80dd4-88bd-4407-abcf-be01a28defe3,Male,Loyal Customer,75,Personal Travel,Business,712,Festive Bonanza,2025-03-06,2024-10-28,satisfied,0,11,1,5,5,0,4,4,0,4,4,5,4,2,3,1
451b4cf3-6123-4df7-b656-af7229d4beef,Male,Loyal Customer,46,Business Travel,Business,9635,Premium Perks,2024-07-22,2024-01-19,satisfied,0,-1,4,0,5,5,5,3,4,3,1,1,4,3,0,5
